date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:04	76608/76608	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:11:09%20GMT	https://shreyu.coderthemes.com/layouts-dark-sidebar.html	/home/room/websites/Koua/shreyu.coderthemes.com/layouts-dark-sidebar.html	(from )
11:50:06	7423/7423	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:33:31%20GMT	https://shreyu.coderthemes.com/robots.txt		(from )
11:50:07	15086/15086	---MCZ	200	added ('OK')	image/x-icon	date:Fri,%2015%20Nov%202019%2012:11:29%20GMT	https://shreyu.coderthemes.com/assets/images/favicon.ico	/home/room/websites/Koua/shreyu.coderthemes.com/assets/images/favicon.ico	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:08	15954/15954	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202019%2012:12:20%20GMT	https://shreyu.coderthemes.com/assets/libs/flatpickr/flatpickr.min.css	/home/room/websites/Koua/shreyu.coderthemes.com/assets/libs/flatpickr/flatpickr.min.css	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:09	192722/192722	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202019%2012:11:20%20GMT	https://shreyu.coderthemes.com/assets/css/bootstrap.min.css	/home/room/websites/Koua/shreyu.coderthemes.com/assets/css/bootstrap.min.css	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:10	45362/45362	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202019%2012:11:24%20GMT	https://shreyu.coderthemes.com/assets/css/icons.min.css	/home/room/websites/Koua/shreyu.coderthemes.com/assets/css/icons.min.css	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:11	62595/62595	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202019%2012:11:25%20GMT	https://shreyu.coderthemes.com/assets/css/app.min.css	/home/room/websites/Koua/shreyu.coderthemes.com/assets/css/app.min.css	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:12	76576/76576	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:33:31%20GMT	https://shreyu.coderthemes.com/index.html	/home/room/websites/Koua/shreyu.coderthemes.com/index.html	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:12	2525/2525	---M--	200	added ('OK')	image/png	etag:%225dce95f2-9dd%22	https://shreyu.coderthemes.com/assets/images/logo.png	/home/room/websites/Koua/shreyu.coderthemes.com/assets/images/logo.png	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:13	663/663	---M--	200	added ('OK')	image/jpeg	etag:%225dce95fb-297%22	https://shreyu.coderthemes.com/assets/images/flags/germany.jpg	/home/room/websites/Koua/shreyu.coderthemes.com/assets/images/flags/germany.jpg	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:14	637/637	---M--	200	added ('OK')	image/jpeg	etag:%225dce95fb-27d%22	https://shreyu.coderthemes.com/assets/images/flags/italy.jpg	/home/room/websites/Koua/shreyu.coderthemes.com/assets/images/flags/italy.jpg	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:15	1039/1039	---M--	200	added ('OK')	image/jpeg	etag:%225dce95fb-40f%22	https://shreyu.coderthemes.com/assets/images/flags/spain.jpg	/home/room/websites/Koua/shreyu.coderthemes.com/assets/images/flags/spain.jpg	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:16	633/633	---M--	200	added ('OK')	image/jpeg	etag:%225dce95fa-279%22	https://shreyu.coderthemes.com/assets/images/flags/russia.jpg	/home/room/websites/Koua/shreyu.coderthemes.com/assets/images/flags/russia.jpg	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:17	3773/3773	---M--	200	added ('OK')	image/jpeg	etag:%225dce960e-ebd%22	https://shreyu.coderthemes.com/assets/images/users/avatar-1.jpg	/home/room/websites/Koua/shreyu.coderthemes.com/assets/images/users/avatar-1.jpg	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:18	5688/5688	---M--	200	added ('OK')	image/jpeg	etag:%225dce960e-1638%22	https://shreyu.coderthemes.com/assets/images/users/avatar-2.jpg	/home/room/websites/Koua/shreyu.coderthemes.com/assets/images/users/avatar-2.jpg	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:19	8233/8233	---M--	200	added ('OK')	image/jpeg	etag:%225dce960f-2029%22	https://shreyu.coderthemes.com/assets/images/users/avatar-7.jpg	/home/room/websites/Koua/shreyu.coderthemes.com/assets/images/users/avatar-7.jpg	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:21	140586/140586	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:11:16%20GMT	https://shreyu.coderthemes.com/pages-profile.html	/home/room/websites/Koua/shreyu.coderthemes.com/pages-profile.html	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:21	177/177	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jul%202020%2011:22:08%20GMT	https://shreyu.coderthemes.com/pages-lock-screen.html	/home/room/websites/Koua/shreyu.coderthemes.com/pages-lock-screen.html	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:23	38797/38797	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:11:15%20GMT	https://shreyu.coderthemes.com/apps-calendar.html	/home/room/websites/Koua/shreyu.coderthemes.com/apps-calendar.html	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:24	82195/82195	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:11:16%20GMT	https://shreyu.coderthemes.com/email-inbox.html	/home/room/websites/Koua/shreyu.coderthemes.com/email-inbox.html	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:25	46746/46746	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:11:16%20GMT	https://shreyu.coderthemes.com/email-read.html	/home/room/websites/Koua/shreyu.coderthemes.com/email-read.html	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:26	37692/37692	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:11:16%20GMT	https://shreyu.coderthemes.com/email-compose.html	/home/room/websites/Koua/shreyu.coderthemes.com/email-compose.html	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:27	63893/63893	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:11:17%20GMT	https://shreyu.coderthemes.com/project-list.html	/home/room/websites/Koua/shreyu.coderthemes.com/project-list.html	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:28	78187/78187	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:11:14%20GMT	https://shreyu.coderthemes.com/project-detail.html	/home/room/websites/Koua/shreyu.coderthemes.com/project-detail.html	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:29	120208/120208	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:11:15%20GMT	https://shreyu.coderthemes.com/task-list.html	/home/room/websites/Koua/shreyu.coderthemes.com/task-list.html	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:30	68378/68378	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:11:14%20GMT	https://shreyu.coderthemes.com/task-board.html	/home/room/websites/Koua/shreyu.coderthemes.com/task-board.html	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:31	33201/33201	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:11:17%20GMT	https://shreyu.coderthemes.com/pages-starter.html	/home/room/websites/Koua/shreyu.coderthemes.com/pages-starter.html	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:32	52883/52883	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:11:17%20GMT	https://shreyu.coderthemes.com/pages-activity.html	/home/room/websites/Koua/shreyu.coderthemes.com/pages-activity.html	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:33	43119/43119	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:11:17%20GMT	https://shreyu.coderthemes.com/pages-invoice.html	/home/room/websites/Koua/shreyu.coderthemes.com/pages-invoice.html	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
11:50:34	40758/40758	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2012:11:14%20GMT	https://shreyu.coderthemes.com/pages-pricing.html	/home/room/websites/Koua/shreyu.coderthemes.com/pages-pricing.html	(from https://shreyu.coderthemes.com/layouts-dark-sidebar.html)
